text,answer
How do you protect my information?,"Your privacy is governed by our Privacy Policy which explains how we collect, use, and protect personal information."
Will these terms change?,"Yes, we reserve the right to modify or revise these Terms and Conditions at any time."
How will I know about changes?,Changes will be posted on this page with an updated effective date.
Do I have to accept changes?,"By continuing to use our services after changes, you agree to be bound by updated terms."
Can I reject term changes?,"If you don't agree with updated terms, you should discontinue using our services."
Will these terms change?,"Yes, we reserve the right to modify or revise these Terms and Conditions at any time."
How will I know about changes?,Changes will be posted on this page with an updated effective date.
What laws apply to these terms?,These terms are governed by the laws of Section 251 (1)(f) of the 1999 Constitution as amended.
Which country's laws apply?,The terms are governed by Nigerian laws as specified in the constitution reference.
What if I'm in another country?,The governing law remains Section 251 (1)(f) of the 1999 Constitution as amended regardless of your location.
Can I sue in my local court?,"Disputes are subject to the exclusive jurisdiction of courts located in Ikoyi, Lagos State."
What laws apply to these terms?,These terms are governed by the laws of Section 251 (1)(f) of the 1999 Constitution as amended.
Who can I contact about these terms?,You can contact us using the contact information provided in section 14 of the terms.
How do I reach customer service?,Contact us using the contact information provided for questions about these terms.
Is there a phone number?,Contact information is provided in section 14 of our Terms and Conditions.
Can I email you?,Contact methods are detailed in section 14 of our Terms and Conditions.
Who can I contact about these terms?,You can contact us using the contact information provided in section 14 of the terms.
How do I reach customer service?,Contact us using the contact information provided for questions about these terms.
What if I don't agree to these terms?,"If you do not agree with any part of these terms, please do not use our services."
Are these terms mandatory?,"Yes, using our services indicates agreement to comply with these Terms and Conditions."
Can I negotiate different terms?,These are our standard terms for all customers using HomeInteriorsNG services.
What if I have special requirements?,Contact us to discuss any special requirements or concerns about our terms.
What if I don't agree to these terms?,"If you do not agree with any part of these terms, please do not use our services."
Are these terms mandatory?,"Yes, using our services indicates agreement to comply with these Terms and Conditions."
